robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin,alpha_lon_brake_min_correct
15.749629906530387,7.273407230678487,10.66038569387653,5.869840257515468,1.2865696633452428,0.2,0.8,0.0,2.0
15.780393233340886,8.024534982264278,10.64069232875955,5.752304404764717,1.2303543153283103,0.2,0.8,0.0,2.0
15.78690803949347,7.181663538239845,9.0185624243488,2.5200376559595745,0.854624826503838,0.2,0.8,0.0,2.0
15.810105013585966,8.691941269679461,8.898073933395507,5.713516852402256,1.1811933587945955,0.2,0.8,0.0,2.0
15.810812089152286,8.052068557652367,7.3246921616703835,3.3134825159374923,0.921304917042474,0.2,0.8,0.0,2.0
15.814740921272008,1.3143682456028671,11.708964903905663,5.485856875123991,3.2911327855626764,0.2,0.8,0.0,2.0
15.83003147850684,4.934752320524212,14.771095644820592,4.827272794899781,1.5513772333418512,0.2,0.8,0.0,2.0
15.848762217241964,1.411124844916327,7.316919903414194,5.742578524477537,3.3356252620759137,0.2,0.8,0.0,2.0
15.876060176319456,5.509047097568537,6.019574176296826,5.590602373805757,1.5631126614231812,0.2,0.8,0.0,2.0
15.877600790706413,7.7410212375759455,11.925642587655453,2.9371174305534185,0.8792604010099934,0.2,0.8,0.0,2.0
15.888426676509258,1.8171290112947247,14.759581287365613,2.031257346988581,2.264666240374599,0.2,0.8,0.0,2.0
15.892254407104462,5.6215857703851935,10.571948780977143,5.629848457078485,1.6215591085425258,0.2,0.8,0.0,2.0
15.91860847266276,6.43001798827584,10.795103262480822,4.649784416162582,1.282283469165348,0.2,0.8,0.0,2.0
15.933381920691106,4.65231165350903,7.283218834670037,5.321740167481969,1.8398233799538783,0.2,0.8,0.0,2.0
15.953774549902661,7.61685986829474,9.687471590806947,4.959308571033629,1.2354146056751938,0.2,0.8,0.0,2.0
15.965346173346145,5.542933863631432,12.323244579996498,5.4628437923089015,1.6090154355843505,0.2,0.8,0.0,2.0
15.97451582287795,5.812362670178088,6.019519517617973,4.824236786677601,1.4377844964605395,0.2,0.8,0.0,2.0
15.981464651708635,4.8455900971066175,13.27246916893901,2.8990456082024516,1.2126367691422095,0.2,0.8,0.0,2.0
15.998079073851864,5.633735071013546,7.343758246453521,5.82759049371878,1.5512843608324318,0.2,0.8,0.0,2.0
16.001719073141047,7.804289892562936,10.038095617022016,3.1943456225488243,0.926384934520562,0.2,0.8,0.0,2.0
16.01867227788799,9.651803655329985,14.951680219140735,2.629866416913985,0.6740827740141249,0.2,0.8,0.0,2.0
16.032942302300306,4.448129388351083,9.858775856626677,4.6029384671626445,1.6826642949666517,0.2,0.8,0.0,2.0
16.039964515867105,1.6087194577560326,7.630109847520796,5.703133763838041,3.1557022136275297,0.2,0.8,0.0,2.0
16.100680413218164,2.4364890439869122,7.620776550786254,5.242842954893076,2.5040757518003214,0.2,0.8,0.0,2.0
16.10485441061508,7.179872126813929,6.804403263649911,5.045918657936516,1.2331895979966399,0.2,0.8,0.0,2.0
16.120634581292027,4.164245515933982,9.782448528259296,3.872912333946671,1.5918451051883222,0.2,0.8,0.0,2.0
16.128275771258043,3.1680072898193625,8.30015016964661,3.976782281844202,1.9821543441722012,0.2,0.8,0.0,2.0
16.136435369895064,8.542338381828486,8.989389656736707,5.9222880753513465,1.161168703039268,0.2,0.8,0.0,2.0
16.15781523136383,7.59454997323809,13.916388353298585,4.468842274048748,1.0909609288813775,0.2,0.8,0.0,2.0
16.185233185438545,3.4135359400701586,7.762699836626066,4.520500077940193,2.014724892968916,0.2,0.8,0.0,2.0
16.22409481953575,1.172726243438672,12.039273853150439,3.761374186542511,3.1153102630545493,0.2,0.8,0.0,2.0
16.225889313778833,8.513426643730527,14.913856681469605,4.635579114424862,1.0879625686728822,0.2,0.8,0.0,2.0
16.237273483188982,4.808144303573082,10.057199914557128,3.2636000107575613,1.3221226093121106,0.2,0.8,0.0,2.0
16.26819724015352,7.392167930000127,10.46058653085759,4.3865312839011015,1.211053843215666,0.2,0.8,0.0,2.0
